time	first_open	app_remove	session_start	app_open	login	view_exercise	health_survey	view_roadmap	practice_with_video	practice_with_ai	chat_ai	show_popup	view_detail_popup	close_popup	store_subscription	in_app_purchase	avg_engage_time
20250217	4	0	12	9	3	6	1	4	2	2	0	0	0	0	1	0	1458
20250218	1	0	12	6	1	5	1	3	2	4	3	0	0	0	0	0	1085
20250219	9	1	21	10	7	9	4	5	5	7	3	0	0	0	0	0	766
20250220	0	0	14	6	2	7	1	3	2	2	1	0	0	0	0	0	886
20250221	1	0	11	7	2	4	0	2	0	1	1	0	0	0	0	0	576
20250222	1	0	11	10	2	7	1	4	3	3	1	0	0	0	1	0	1129
20250223	1	1	7	4	1	1	1	1	0	1	0	0	0	0	0	0	148
20250224	0	1	10	8	1	6	0	3	1	3	0	0	0	0	0	0	1860
20250225	4	4	14	11	2	4	0	1	2	3	0	0	0	0	0	0	710
20250226	3	0	14	10	1	2	0	1	0	2	0	0	0	0	0	0	977
20250227	1	2	11	7	3	4	0	1	1	2	0	0	0	0	0	0	1806
20250228	1	1	9	6	0	2	0	0	1	1	1	0	0	0	0	0	496
20250301	0	0	7	5	1	3	1	3	1	1	1	0	0	0	0	0	1588
20250302	2	0	8	5	1	3	1	2	2	2	3	0	0	0	0	0	1435
20250303	2	1	14	8	4	6	2	3	1	3	5	1	0	1	1	0	400
20250304	1	1	11	8	2	5	2	3	0	3	2	1	0	0	0	0	1275
20250305	2	2	11	6	2	3	1	0	0	1	1	1	0	0	0	0	1242
20250306	2	0	16	11	3	11	1	2	1	5	1	0	0	0	1	0	779
20250307	3	1	15	10	3	10	2	4	5	3	2	0	0	0	0	0	823
20250308	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
20250309	0	0	7	6	0	2	1	2	1	1	0	0	0	0	0	0	226
20250310	8	1	20	10	0	10	1	1	0	1	2	0	0	0	1	0	607
20250311	2	0	10	6	0	4	0	0	1	1	1	0	0	0	0	0	878
20250312	0	0	12	3	0	3	0	1	0	2	0	0	0	0	0	0	714
20250313	0	0	12	8	1	6	0	1	1	4	3	0	0	0	0	0	406
20250314	4	3	13	6	3	6	1	1	2	2	3	0	0	0	0	0	289
20250315	1	1	8	3	0	7	1	2	2	3	2	0	0	0	0	0	1185
20250316	0	0	3	3	0	2	0	1	1	1	0	0	0	0	0	0	1391
20250317	1	1	8	6	2	4	1	2	3	2	1	0	0	0	0	0	1227
20250318	1	0	12	9	3	7	1	3	0	2	0	2	1	2	1	0	1663
20250319	1	0	9	5	1	6	1	2	0	3	1	1	1	1	0	0	1661
20250320	2	4	9	6	3	7	1	2	1	5	1	0	0	0	0	0	1068
20250321	3	2	14	9	3	7	2	4	4	5	6	0	0	0	3	0	1465
20250322	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	25
20250323	1	0	4	2	0	2	1	1	0	1	0	0	0	0	1	0	393
20250324	2	0	6	3	2	2	1	1	1	2	1	0	0	0	0	0	1515
20250325	9	1	16	13	6	11	0	0	5	5	1	6	0	6	0	0	1687
20250326	3	0	9	5	2	6	0	0	0	2	0	2	0	2	0	0	4503
20250327	1	1	10	8	4	7	0	1	0	1	1	2	2	2	0	0	289
20250328	0	0	10	7	0	4	1	1	0	0	0	1	0	0	2	0	222
20250329	0	1	3	1	0	1	0	0	0	0	1	0	0	0	0	0	56
20250330	0	0	1	1	0	1	1	1	1	1	0	0	0	0	1	0	3104
20250331	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	40
20250401	1	1	6	3	2	4	1	3	2	2	0	0	0	0	0	0	1023
20250402	4	3	8	5	5	6	2	1	0	5	1	0	0	0	0	0	448
20250403	2	0	6	4	2	4	3	2	0	3	2	0	0	0	1	0	270
